source,destination,distance_km,travel_time_minutes,alt_distance_km,alt_travel_time_minutes,time_of_day,stop1,stop1_traffic,stop1_alt_route,stop1_weather,stop1_road_condition,stop1_passenger_demand_in,stop1_passenger_demand_out,stop2,stop2_traffic,stop2_alt_route,stop2_weather,stop2_road_condition,stop2_passenger_demand_in,stop2_passenger_demand_out,stop3,stop3_traffic,stop3_alt_route,stop3_weather,stop3_road_condition,stop3_passenger_demand_in,stop3_passenger_demand_out,stop4,stop4_traffic,stop4_alt_route,stop4_weather,stop4_road_condition,stop4_passenger_demand_in,stop4_passenger_demand_out,stop5,stop5_traffic,stop5_alt_route,stop5_weather,stop5_road_condition,stop5_passenger_demand_in,stop5_passenger_demand_out,stop6,stop6_traffic,stop6_alt_route,stop6_weather,stop6_road_condition,stop6_passenger_demand_in,stop6_passenger_demand_out,stop7,stop7_traffic,stop7_alt_route,stop7_weather,stop7_road_condition,stop7_passenger_demand_in,stop7_passenger_demand_out,stop8,stop8_traffic,stop8_alt_route,stop8_weather,stop8_road_condition,stop8_passenger_demand_in,stop8_passenger_demand_out,stop9,stop9_traffic,stop9_alt_route,stop9_weather,stop9_road_condition,stop9_passenger_demand_in,stop9_passenger_demand_out,stop10,stop10_traffic,stop10_alt_route,stop10_weather,stop10_road_condition,stop10_passenger_demand_in,stop10_passenger_demand_out,stop11,stop11_traffic,stop11_alt_route,stop11_weather,stop11_road_condition,stop11_passenger_demand_in,stop11_passenger_demand_out,stop12,stop12_traffic,stop12_alt_route,stop12_weather,stop12_road_condition,stop12_passenger_demand_in,stop12_passenger_demand_out
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.18097082065254,60,25.89682921610237,83,09:11,Jaitpur Crossing,High,True,Clear,Moderate,43,33,Lal Kuan,Low,False,Foggy,Moderate,5,34,Okhla Phase 1,Low,False,Rainy,Good,43,10,Govind Puri Metro Station,Moderate,False,Rainy,Moderate,46,31,Nehru Place Terminal,High,False,Rainy,Poor,27,48,Panchsheel Enclave,Low,True,Cloudy,Poor,28,47,IIT Gate,Moderate,False,Rainy,Good,47,8,Munirka DDA Flats,Low,True,Foggy,Poor,7,47,Vasant Vihar,Moderate,False,Clear,Poor,27,32,Palam Airport / IGI Airport T111,High,True,Cloudy,Moderate,9,27,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Foggy,Poor,48,47,Dwarka Sec-6 Telephone Exchange,Moderate,True,Cloudy,Poor,19,41
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.73275083106431,63,30.887243963699795,84,18:46,Jaitpur Crossing,Low,True,Clear,Poor,1,26,Lal Kuan,High,True,Clear,Moderate,6,25,Okhla Phase 1,Low,False,Cloudy,Good,21,36,Govind Puri Metro Station,Moderate,True,Foggy,Good,39,20,Nehru Place Terminal,Low,True,Foggy,Good,1,12,Panchsheel Enclave,High,True,Cloudy,Good,39,3,IIT Gate,Low,False,Foggy,Poor,13,9,Munirka DDA Flats,Moderate,True,Cloudy,Moderate,39,34,Vasant Vihar,Low,False,Foggy,Poor,5,40,Palam Airport / IGI Airport T111,Moderate,True,Clear,Moderate,31,47,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Cloudy,Poor,38,0,Dwarka Sec-6 Telephone Exchange,Low,False,Rainy,Poor,5,27
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,33.05139445869341,88,31.41276193918536,68,21:23,Jaitpur Crossing,Low,True,Foggy,Poor,12,28,Lal Kuan,Moderate,True,Rainy,Poor,30,18,Okhla Phase 1,Moderate,False,Clear,Moderate,12,31,Govind Puri Metro Station,Moderate,True,Cloudy,Poor,48,18,Nehru Place Terminal,High,True,Clear,Poor,10,49,Panchsheel Enclave,Moderate,False,Cloudy,Good,31,15,IIT Gate,Low,False,Cloudy,Poor,23,17,Munirka DDA Flats,High,True,Cloudy,Poor,21,13,Vasant Vihar,Moderate,True,Cloudy,Moderate,30,45,Palam Airport / IGI Airport T111,Moderate,False,Foggy,Poor,41,50,Dwarka Crossing / Maharaja Agrasen Chowk,High,False,Cloudy,Moderate,45,26,Dwarka Sec-6 Telephone Exchange,High,True,Cloudy,Moderate,13,24
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,25.02234107768253,78,33.216019750911606,69,02:30,Jaitpur Crossing,Low,True,Clear,Poor,0,18,Lal Kuan,High,False,Rainy,Moderate,23,1,Okhla Phase 1,Low,False,Cloudy,Moderate,15,25,Govind Puri Metro Station,Low,False,Foggy,Moderate,26,45,Nehru Place Terminal,Moderate,True,Cloudy,Good,14,12,Panchsheel Enclave,Low,False,Cloudy,Good,19,2,IIT Gate,Moderate,False,Rainy,Good,7,10,Munirka DDA Flats,Low,True,Cloudy,Moderate,8,17,Vasant Vihar,High,False,Clear,Moderate,41,24,Palam Airport / IGI Airport T111,High,False,Foggy,Poor,44,11,Dwarka Crossing / Maharaja Agrasen Chowk,High,False,Rainy,Poor,44,12,Dwarka Sec-6 Telephone Exchange,Moderate,True,Clear,Moderate,49,5
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.262986628669264,89,30.475584810299246,65,12:35,Jaitpur Crossing,High,True,Cloudy,Poor,50,38,Lal Kuan,High,False,Cloudy,Moderate,26,18,Okhla Phase 1,Moderate,False,Foggy,Moderate,44,3,Govind Puri Metro Station,High,True,Cloudy,Moderate,17,25,Nehru Place Terminal,High,False,Cloudy,Poor,3,27,Panchsheel Enclave,Low,True,Cloudy,Good,32,22,IIT Gate,High,False,Rainy,Poor,17,0,Munirka DDA Flats,Moderate,True,Rainy,Good,27,42,Vasant Vihar,Moderate,True,Cloudy,Moderate,5,26,Palam Airport / IGI Airport T111,High,True,Foggy,Moderate,25,11,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Cloudy,Good,18,8,Dwarka Sec-6 Telephone Exchange,Low,False,Cloudy,Moderate,5,9
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.883249007865334,88,28.504405973214983,60,13:14,Jaitpur Crossing,Low,False,Foggy,Good,17,14,Lal Kuan,Low,False,Rainy,Good,23,43,Okhla Phase 1,Low,False,Foggy,Poor,47,45,Govind Puri Metro Station,High,True,Rainy,Poor,40,41,Nehru Place Terminal,Moderate,False,Cloudy,Moderate,7,48,Panchsheel Enclave,Moderate,True,Rainy,Good,45,40,IIT Gate,High,False,Clear,Good,8,4,Munirka DDA Flats,Low,False,Foggy,Poor,35,27,Vasant Vihar,Moderate,True,Rainy,Good,22,11,Palam Airport / IGI Airport T111,High,True,Foggy,Poor,17,18,Dwarka Crossing / Maharaja Agrasen Chowk,High,False,Cloudy,Good,50,20,Dwarka Sec-6 Telephone Exchange,Moderate,True,Foggy,Good,3,23
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,30.97364800123583,85,25.484649030833296,78,05:30,Jaitpur Crossing,Low,True,Clear,Poor,27,21,Lal Kuan,High,False,Rainy,Poor,50,44,Okhla Phase 1,Low,False,Clear,Poor,43,31,Govind Puri Metro Station,High,True,Foggy,Poor,38,32,Nehru Place Terminal,High,True,Cloudy,Good,7,38,Panchsheel Enclave,High,False,Clear,Good,3,50,IIT Gate,Moderate,True,Rainy,Good,20,8,Munirka DDA Flats,High,True,Foggy,Moderate,31,28,Vasant Vihar,Low,True,Rainy,Good,13,23,Palam Airport / IGI Airport T111,High,True,Foggy,Good,46,29,Dwarka Crossing / Maharaja Agrasen Chowk,High,False,Foggy,Moderate,7,39,Dwarka Sec-6 Telephone Exchange,Moderate,False,Foggy,Poor,0,23
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,26.893564656359185,82,31.96173065102415,72,00:28,Jaitpur Crossing,Moderate,False,Clear,Poor,45,2,Lal Kuan,Low,True,Foggy,Moderate,43,22,Okhla Phase 1,High,False,Clear,Good,14,48,Govind Puri Metro Station,High,True,Cloudy,Moderate,29,6,Nehru Place Terminal,Low,False,Cloudy,Poor,4,23,Panchsheel Enclave,Low,False,Foggy,Good,46,40,IIT Gate,High,True,Clear,Poor,13,47,Munirka DDA Flats,Low,True,Cloudy,Good,36,43,Vasant Vihar,Low,False,Rainy,Moderate,13,38,Palam Airport / IGI Airport T111,High,True,Clear,Good,28,31,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Clear,Moderate,21,36,Dwarka Sec-6 Telephone Exchange,Low,True,Rainy,Moderate,37,0
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,29.74014328086934,83,33.19899275172267,59,15:28,Jaitpur Crossing,High,False,Rainy,Good,33,33,Lal Kuan,High,False,Clear,Poor,24,22,Okhla Phase 1,Low,True,Clear,Good,10,35,Govind Puri Metro Station,High,False,Foggy,Poor,15,2,Nehru Place Terminal,Low,True,Foggy,Good,43,42,Panchsheel Enclave,High,False,Foggy,Good,37,30,IIT Gate,High,True,Rainy,Poor,21,28,Munirka DDA Flats,High,False,Rainy,Poor,12,31,Vasant Vihar,Moderate,False,Clear,Moderate,49,22,Palam Airport / IGI Airport T111,Low,True,Foggy,Good,38,22,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,False,Rainy,Moderate,9,11,Dwarka Sec-6 Telephone Exchange,High,False,Cloudy,Good,43,5
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,27.335070127970845,60,31.14527388099521,62,13:37,Jaitpur Crossing,High,True,Cloudy,Good,7,12,Lal Kuan,High,True,Cloudy,Moderate,42,29,Okhla Phase 1,Low,True,Foggy,Moderate,14,33,Govind Puri Metro Station,Moderate,False,Cloudy,Poor,14,50,Nehru Place Terminal,High,True,Clear,Poor,41,2,Panchsheel Enclave,Low,True,Clear,Moderate,10,35,IIT Gate,High,False,Rainy,Good,45,38,Munirka DDA Flats,Moderate,True,Foggy,Moderate,23,43,Vasant Vihar,Moderate,False,Rainy,Moderate,34,2,Palam Airport / IGI Airport T111,Low,True,Foggy,Good,14,48,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Foggy,Poor,20,10,Dwarka Sec-6 Telephone Exchange,Low,True,Cloudy,Moderate,3,3
